INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2022-08-02T05:00:00-00:00,2022-08-02T06:00:00-00:00,2022-08-01,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-1.25192,4
2022-08-02T01:00:00-00:00,2022-08-02T02:00:00-00:00,2022-08-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0,4
2022-08-02T00:00:00-00:00,2022-08-02T01:00:00-00:00,2022-08-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0,4
2022-08-01T18:00:00-00:00,2022-08-01T19:00:00-00:00,2022-08-01,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0,4
2022-08-01T17:00:00-00:00,2022-08-01T18:00:00-00:00,2022-08-01,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-2.71571,4
2022-08-01T21:00:00-00:00,2022-08-01T22:00:00-00:00,2022-08-01,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0,4
2022-08-01T20:00:00-00:00,2022-08-01T21:00:00-00:00,2022-08-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0,4
2022-08-02T03:00:00-00:00,2022-08-02T04:00:00-00:00,2022-08-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,0,4
2022-08-01T12:00:00-00:00,2022-08-01T13:00:00-00:00,2022-08-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MCL,LMP_LOSS_PRC,0096WD_7_N001,ALL,1,-0.19955,4
2022-08-01T08:00:00-00:00,2022-08-01T09:00:00-00:00,2022-08-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2022-08-01T16:00:00-00:00,2022-08-01T17:00:00-00:00,2022-08-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2022-08-01T19:00:00-00:00,2022-08-01T20:00:00-00:00,2022-08-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2022-08-01T20:00:00-00:00,2022-08-01T21:00:00-00:00,2022-08-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2022-08-01T12:00:00-00:00,2022-08-01T13:00:00-00:00,2022-08-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2022-08-01T21:00:00-00:00,2022-08-01T22:00:00-00:00,2022-08-01,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2022-08-02T06:00:00-00:00,2022-08-02T07:00:00-00:00,2022-08-01,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2022-08-01T11:00:00-00:00,2022-08-01T12:00:00-00:00,2022-08-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2022-08-01T13:00:00-00:00,2022-08-01T14:00:00-00:00,2022-08-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2022-08-02T04:00:00-00:00,2022-08-02T05:00:00-00:00,2022-08-01,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2022-08-01T10:00:00-00:00,2022-08-01T11:00:00-00:00,2022-08-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2022-08-01T15:00:00-00:00,2022-08-01T16:00:00-00:00,2022-08-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2022-08-02T03:00:00-00:00,2022-08-02T04:00:00-00:00,2022-08-01,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2022-08-02T00:00:00-00:00,2022-08-02T01:00:00-00:00,2022-08-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
2022-08-01T14:00:00-00:00,2022-08-01T15:00:00-00:00,2022-08-01,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,MGHG,LMP_GHG_PRC,0096WD_7_N001,ALL,1,0,5
